scientificname,datecollected,length,Lon_deg,Lon_mi,Lon_sec,Lat_deg,Lat_mi,Lat_sec
Gadus morhua,2009-05-16T00:00:00,0.49,-63,59,23.892,47,58,9.408
Gadus morhua,2009-05-16T00:00:00,0.48,-63,59,23.892,47,58,9.408
Gadus morhua,2009-05-16T00:00:00,0.48,-63,59,44.988,47,58,35.652
Gadus morhua,2009-05-16T00:00:00,0.47,-63,59,44.988,47,58,35.652
Gadus morhua,2009-05-16T00:00:00,0.48,-63,59,44.988,47,58,35.652
Gadus morhua,2009-05-16T00:00:00,0.53,-63,59,44.988,47,58,35.652
Gadus morhua,2009-05-16T00:00:00,0.48,-63,59,44.988,47,58,35.652
Gadus morhua,2009-05-16T00:00:00,0.51,-63,59,44.988,47,58,35.652
Gadus morhua,2009-05-16T00:00:00,0.45,-64,9,18.108,48,0,23.508
Gadus morhua,2009-05-16T00:00:00,0.46,-64,9,18.108,48,0,23.508
Gadus morhua,2009-05-16T00:00:00,0.49,-64,9,18.108,48,0,23.508
Gadus morhua,2009-05-16T00:00:00,0.46,-64,9,18.108,48,0,23.508
Gadus morhua,2009-05-16T00:00:00,0.5,-64,9,18.108,48,0,23.508
Gadus morhua,2009-05-16T00:00:00,0.49,-64,9,18.108,48,0,23.508
Gadus morhua,2009-05-16T00:00:00,0.47,-64,9,18.108,48,0,23.508
Gadus morhua,2009-05-18T00:00:00,0.48,-63,56,38.58,47,57,40.428
Gadus morhua,2009-05-18T00:00:00,0.54,-63,56,38.58,47,57,40.428
Gadus morhua,2009-05-18T00:00:00,0.59,-63,57,21.96,47,57,29.412
Gadus morhua,2009-05-18T00:00:00,0.66,-63,56,38.58,47,57,40.428
Gadus morhua,2009-05-18T00:00:00,0.7,-63,56,38.58,47,57,40.428
Gadus morhua,2009-05-18T00:00:00,0.54,-63,56,46.14,47,57,30.492
Gadus morhua,2009-05-18T00:00:00,0.59,-63,56,46.14,47,57,30.492
Gadus morhua,2009-05-18T00:00:00,0.54,-63,56,46.14,47,57,30.492
Gadus morhua,2009-05-18T00:00:00,0.49,-63,56,46.14,47,57,30.492
Gadus morhua,2009-05-18T00:00:00,0.53,-63,56,46.14,47,57,30.492
Gadus morhua,2009-05-18T00:00:00,0.46,-63,57,10.44,47,57,27.72
Gadus morhua,2009-05-18T00:00:00,0.5,-63,57,10.44,47,57,27.72
Gadus morhua,2009-05-18T00:00:00,0.51,-63,57,10.44,47,57,27.72
Gadus morhua,2009-05-18T00:00:00,0.51,-63,57,10.44,47,57,27.72
Gadus morhua,2009-05-18T00:00:00,0.48,-63,57,10.44,47,57,27.72
Gadus morhua,2009-05-18T00:00:00,0.48,-63,57,10.44,47,57,27.72
Gadus morhua,2009-05-18T00:00:00,0.5,-63,57,10.44,47,57,27.72
Gadus morhua,2009-05-18T00:00:00,0.51,-63,57,10.44,47,57,27.72
Gadus morhua,2009-05-16T00:00:00,0.56,-64,19,59.7,48,1,25.86
Gadus morhua,2009-05-16T00:00:00,0.48,-64,19,59.7,48,1,25.86
Gadus morhua,2009-05-16T00:00:00,0.46,-64,42,34.812,148,53,56.4
Gadus morhua,2009-05-18T00:00:00,0.44,-63,56,38.58,47,57,40.428
Gadus morhua,2009-05-18T00:00:00,0.55,-63,56,38.58,47,57,40.428
Gadus morhua,2013-05-24T16:00:00,0.59,-64,2,51.108,48,0,55.8
Gadus morhua,2013-05-24T16:00:00,0.73,-64,2,51.108,48,0,55.8
Gadus morhua,2013-05-24T16:00:00,0.5,-64,2,51.108,48,0,55.8
Gadus morhua,2013-05-24T16:00:00,0.51,-64,2,51.108,48,0,55.8
Gadus morhua,2013-05-24T16:00:00,0.54,-64,2,51.108,48,0,55.8
Gadus morhua,2013-05-24T18:45:00,0.52,-64,28,13.188,48,1,56.388
Gadus morhua,2013-05-24T18:45:00,0.44,-64,28,13.188,48,1,56.388
Gadus morhua,2013-05-24T18:20:00,0.49,-64,23,37.13388,47,59,54.37212
Gadus morhua,2013-05-24T18:20:00,0.61,-64,23,37.13388,47,59,54.37212
Gadus morhua,2013-05-24T18:20:00,0.47,-64,23,37.13388,47,59,54.37212
Gadus morhua,2013-05-24T18:45:00,0.49,-64,28,13.188,48,1,56.388
Gadus morhua,2013-05-24T18:45:00,0.59,-64,28,13.188,48,1,56.388
Gadus morhua,2013-05-24T18:45:00,0.51,-64,28,13.188,48,1,56.388
Gadus morhua,2013-05-24T18:45:00,0.49,-64,28,13.188,48,1,56.388
Gadus morhua,2013-05-24T18:45:00,0.56,-64,28,13.188,48,1,56.388
Gadus morhua,2013-05-24T16:00:00,0.54,-64,2,51.108,48,0,55.8
Gadus morhua,2013-05-24T16:00:00,0.55,-64,2,51.108,48,0,55.8
Gadus morhua,2013-05-24T16:00:00,0.49,-64,2,51.108,48,0,55.8
Gadus morhua,2013-05-24T16:00:00,0.63,-64,2,51.108,48,0,55.8
Gadus morhua,2013-05-24T16:00:00,0.52,-64,2,51.108,48,0,55.8
Gadus morhua,2013-05-24T17:04:00,0.53,-64,12,10.75788,47,59,20.868
Gadus morhua,2013-05-24T17:35:00,0.46,-64,18,52.1388,47,59,2.58
Gadus morhua,2013-05-24T17:04:00,0.57,-64,12,10.75788,47,59,20.868
Gadus morhua,2013-05-24T17:04:00,0.57,-64,12,10.75788,47,59,20.868
Gadus morhua,2013-05-24T17:04:00,0.56,-64,12,10.75788,47,59,20.868
Gadus morhua,2013-05-26T15:25:00,0.54,-64,18,29.754,48,0,39.8412
Gadus morhua,2013-05-26T15:25:00,0.52,-64,18,29.754,48,0,39.8412
Gadus morhua,2013-05-26T15:25:00,0.63,-64,18,29.754,48,0,39.8412
Gadus morhua,2013-05-26T15:25:00,0.6,-64,18,29.754,48,0,39.8412
Gadus morhua,2013-05-26T15:25:00,0.5,-64,18,29.754,48,0,39.8412
Gadus morhua,2013-05-26T15:25:00,0.58,-64,18,29.754,48,0,39.8412
Gadus morhua,2013-05-26T15:25:00,0.57,-64,18,29.754,48,0,39.8412
Gadus morhua,2013-05-26T15:25:00,0.64,-64,18,29.754,48,0,39.8412
Gadus morhua,2013-05-26T15:25:00,0.58,-64,18,29.754,48,0,39.8412
Gadus morhua,2013-05-26T15:25:00,0.52,-64,18,29.754,48,0,39.8412
Gadus morhua,2013-05-24T17:04:00,0.49,-64,12,10.75788,47,59,20.868
Gadus morhua,2013-05-24T17:04:00,0.54,-64,12,10.75788,47,59,20.868
Gadus morhua,2013-05-24T17:04:00,0.56,-64,12,10.75788,47,59,20.868
Gadus morhua,2013-05-24T17:04:00,0.51,-64,12,10.75788,47,59,20.868
Gadus morhua,2013-05-24T17:35:00,0.56,-64,18,52.1388,47,59,2.58
Gadus morhua,2013-05-26T14:19:00,0.59,-64,6,30.41388,47,57,55.82988
Gadus morhua,2013-05-26T14:19:00,0.42,-64,6,30.41388,47,57,55.82988
Gadus morhua,2013-05-26T14:19:00,0.39,-64,6,30.41388,47,57,55.82988
Gadus morhua,2013-05-26T14:19:00,0.5,-64,6,30.41388,47,57,55.82988
Gadus morhua,2013-05-26T14:19:00,0.59,-64,6,30.41388,47,57,55.82988
Gadus morhua,2013-05-24T18:45:00,0.48,-64,28,13.188,48,1,56.388
Gadus morhua,2013-05-26T14:19:00,0.53,-64,6,30.41388,47,57,55.82988
Gadus morhua,2013-05-26T14:19:00,0.57,-64,6,30.41388,47,57,55.82988
Gadus morhua,2013-05-24T18:45:00,0.58,-64,28,13.188,48,1,56.388
Gadus morhua,2013-05-26T14:19:00,0.71,-64,6,30.41388,47,57,55.82988
Gadus morhua,2013-05-24T17:35:00,0.57,-64,18,52.1388,47,59,2.58
Gadus morhua,2013-05-24T17:35:00,0.58,-64,18,52.1388,47,59,2.58
Gadus morhua,2013-05-24T18:20:00,0.42,-64,23,37.13388,47,59,54.37212
Gadus morhua,2013-05-24T18:20:00,0.48,-64,23,37.13388,47,59,54.37212
Gadus morhua,2013-05-24T18:20:00,0.51,-64,23,37.13388,47,59,54.37212
Gadus morhua,2013-05-24T17:35:00,0.58,-64,18,52.1388,47,59,2.58
Gadus morhua,2013-05-24T17:35:00,0.52,-64,18,52.1388,47,59,2.58
Gadus morhua,2013-05-24T17:35:00,0.57,-64,18,52.1388,47,59,2.58
Gadus morhua,2013-05-24T17:35:00,0.64,-64,18,52.1388,47,59,2.58
Gadus morhua,2013-05-24T17:35:00,0.53,-64,18,52.1388,47,59,2.58
Gadus morhua,2013-05-24T13:38:00,0.44,-64,0,12.24,47,58,33.30012
Gadus morhua,2013-05-24T13:38:00,0.44,-64,0,12.24,47,58,33.30012
Gadus morhua,2013-05-24T13:38:00,0.46,-64,0,12.24,47,58,33.30012
Gadus morhua,2013-05-24T14:50:00,0.46,-63,59,53.26188,48,0,14.910012
Gadus morhua,2013-05-24T14:50:00,0.47,-63,59,53.26188,48,0,14.910012
Gadus morhua,2013-05-24T13:38:00,0.48,-64,0,12.24,47,58,33.30012
Gadus morhua,2013-05-24T13:38:00,0.49,-64,0,12.24,47,58,33.30012
Gadus morhua,2013-05-24T13:38:00,0.47,-64,0,12.24,47,58,33.30012
Gadus morhua,2013-05-24T14:50:00,0.42,-63,59,53.26188,48,0,14.910012
Gadus morhua,2013-05-24T14:50:00,0.49,-63,59,53.26188,48,0,14.910012
Gadus morhua,2013-05-24T13:38:00,0.47,-64,0,12.24,47,58,33.30012
Gadus morhua,2013-05-24T13:38:00,0.49,-64,0,12.24,47,58,33.30012
Gadus morhua,2013-05-24T13:38:00,0.5,-64,0,12.24,47,58,33.30012
Gadus morhua,2013-05-24T14:50:00,0.38,-63,59,53.26188,48,0,14.910012
Gadus morhua,2013-05-24T14:50:00,0.38,-63,59,53.26188,48,0,14.910012
Gadus morhua,2014-06-15T11:56:00,0.5,-64,18,6.912,47,57,19.908
Gadus morhua,2014-06-15T11:56:00,0.61,-64,18,6.912,47,57,19.908
Gadus morhua,2014-06-15T10:14:00,0.45,-64,1,40.692,47,51,14.436
Gadus morhua,2014-06-14T13:49:00,0.5,-64,0,42.012,47,55,52.896
Gadus morhua,2014-06-14T13:49:00,0.51,-64,0,42.012,47,55,52.896
Gadus morhua,2014-05-15T15:20:00,0.43,-64,1,31.332,47,55,36.588
Gadus morhua,2014-05-15T15:20:00,0.61,-64,1,31.332,47,55,36.588
Gadus morhua,2014-05-15T17:30:00,0.46,-64,10,20.172,47,51,10.152
Gadus morhua,2014-06-14T16:13:00,0.6,-64,9,13.788,47,59,30.48
Gadus morhua,2014-06-14T16:13:00,0.51,-64,9,13.788,47,59,30.48
Gadus morhua,2014-05-15T15:20:00,0.47,-64,1,31.332,47,55,36.588
Gadus morhua,2014-05-15T17:30:00,0.42,-64,10,20.172,47,51,10.152
Gadus morhua,2014-05-16T15:50:00,0.43,-63,47,55.788,48,4,48
Gadus morhua,2014-06-14T16:13:00,0.58,-64,9,13.788,47,59,30.48
Gadus morhua,2014-06-14T16:13:00,0.67,-64,9,13.788,47,59,30.48
Gadus morhua,2014-06-15T11:56:00,0.63,-64,18,6.912,47,57,19.908
Gadus morhua,2014-06-15T11:56:00,0.51,-64,18,6.912,47,57,19.908
Gadus morhua,2014-06-15T11:02:00,0.63,-64,8,45.24,47,53,38.832
Gadus morhua,2014-06-15T11:02:00,0.54,-64,8,45.24,47,53,38.832
Gadus morhua,2014-06-15T11:02:00,0.55,-64,8,45.24,47,53,38.832
Gadus morhua,2014-06-15T11:56:00,0.5,-64,18,6.912,47,57,19.908
Gadus morhua,2014-06-15T11:56:00,0.5,-64,18,6.912,47,57,19.908
Gadus morhua,2014-06-15T11:33:00,0.54,-64,14,4.38,47,55,38.856
Gadus morhua,2014-06-15T11:33:00,0.7,-64,14,4.38,47,55,38.856
Gadus morhua,2014-06-15T11:33:00,0.51,-64,14,4.38,47,55,38.856
Gadus morhua,2014-06-14T17:17:00,0.44,-64,19,7.752,48,3,49.428
Gadus morhua,2014-06-14T17:17:00,0.55,-64,19,7.752,48,3,49.428
Gadus morhua,2014-06-14T17:17:00,0.63,-64,19,7.752,48,3,49.428
Gadus morhua,2014-06-14T17:17:00,0.53,-64,19,7.752,48,3,49.428
Gadus morhua,2014-06-14T17:17:00,0.67,-64,19,7.752,48,3,49.428
Gadus morhua,2014-06-14T17:17:00,0.54,-64,19,7.752,48,3,49.428
Gadus morhua,2014-06-14T17:17:00,0.65,-64,19,7.752,48,3,49.428
Gadus morhua,2014-06-14T17:17:00,0.54,-64,19,7.752,48,3,49.428
Gadus morhua,2014-06-15T10:14:00,0.44,-64,1,40.692,47,51,14.436
Gadus morhua,2014-06-15T10:14:00,0.54,-64,1,40.692,47,51,14.436
Gadus morhua,2014-06-15T10:14:00,0.51,-64,1,40.692,47,51,14.436
Gadus morhua,2014-06-15T10:14:00,0.46,-64,1,40.692,47,51,14.436
Gadus morhua,2014-06-15T10:14:00,0.46,-64,1,40.692,47,51,14.436
Gadus morhua,2014-06-14T13:26:00,0.69,-64,0,23.328,47,54,40.644
Gadus morhua,2014-06-14T13:26:00,0.55,-64,0,23.328,47,54,40.644
Gadus morhua,2014-06-15T10:14:00,0.48,-64,1,40.692,47,51,14.436
Gadus morhua,2014-06-15T10:14:00,0.52,-64,1,40.692,47,51,14.436
Gadus morhua,2014-06-15T11:02:00,0.7,-64,8,45.24,47,53,38.832
Gadus morhua,2014-06-14T13:49:00,0.55,-64,0,42.012,47,55,52.896
Gadus morhua,2014-06-14T13:49:00,0.56,-64,0,42.012,47,55,52.896
Gadus morhua,2014-06-15T11:02:00,0.52,-64,8,45.24,47,53,38.832
Gadus morhua,2014-06-15T11:02:00,0.66,-64,8,45.24,47,53,38.832
Gadus morhua,2014-06-15T11:02:00,0.59,-64,8,45.24,47,53,38.832
Gadus morhua,2014-05-15T15:20:00,0.56,-64,1,31.332,47,55,36.588
Gadus morhua,2014-05-15T14:36:00,0.54,-63,59,39.912,47,59,43.8
Gadus morhua,2014-06-15T11:33:00,0.6,-64,14,4.38,47,55,38.856
Gadus morhua,2014-06-15T11:33:00,0.51,-64,14,4.38,47,55,38.856
