scientificname,longitude,latitude,datecollected,sex,life_stage,weight
Gadus morhua,-61.752,44.953,2014-05-13T00:00:00,U,,
Gadus morhua,-61.752,44.953,2014-05-13T00:00:00,U,,
Gadus morhua,-61.778,44.945,2014-05-15T00:00:00,U,,
Gadus morhua,-61.745,44.978,2014-05-14T00:00:00,U,,
Gadus morhua,-61.745,44.978,2014-05-14T00:00:00,U,,
Gadus morhua,-61.745,44.978,2014-05-14T00:00:00,U,,
Gadus morhua,-61.745,44.978,2014-05-14T00:00:00,U,,
Gadus morhua,-61.593,45.001,2014-05-13T00:00:00,U,,
Gadus morhua,-61.593,45.001,2014-05-13T00:00:00,U,,
Gadus morhua,-61.778,44.945,2014-05-15T00:00:00,U,,
Gadus morhua,-61.778,44.945,2014-05-15T00:00:00,U,,
Gadus morhua,-61.776,44.961,2014-05-14T00:00:00,U,,
Gadus morhua,-61.776,44.961,2014-05-14T00:00:00,U,,
Gadus morhua,-61.776,44.961,2014-05-14T00:00:00,U,,
Gadus morhua,-61.776,44.961,2014-05-14T00:00:00,U,,
Gadus morhua,-61.752,44.953,2014-05-13T00:00:00,U,,
Gadus morhua,-61.752,44.953,2014-05-13T00:00:00,U,,
Gadus morhua,-61.776,44.961,2014-05-14T00:00:00,U,,
Gadus morhua,-61.776,44.961,2014-05-14T00:00:00,U,,
Gadus morhua,-61.593,45.001,2014-05-13T00:00:00,U,,
Gadus morhua,-61.752,44.953,2014-05-13T00:00:00,U,,
Gadus morhua,-61.778,44.945,2014-05-15T00:00:00,U,,
Gadus morhua,-61.752,44.953,2014-05-13T00:00:00,U,,
Gadus morhua,-61.752,44.953,2014-05-13T00:00:00,U,,
Gadus morhua,-61.776,44.961,2014-05-14T00:00:00,U,,
Gadus morhua,-61.776,44.928,2014-05-15T00:00:00,U,,
Gadus morhua,-61.778,44.945,2014-05-15T00:00:00,U,,
Gadus morhua,-61.778,44.945,2014-05-15T00:00:00,U,,
Gadus morhua,-61.752,44.953,2014-05-13T00:00:00,U,,
Gadus morhua,-61.776,44.928,2014-05-15T00:00:00,U,,
Gadus morhua,-61.752,44.953,2014-05-13T00:00:00,U,,
Gadus morhua,-61.752,44.953,2014-05-13T00:00:00,U,,
Gadus morhua,-61.752,44.953,2014-05-13T00:00:00,U,,
Gadus morhua,-61.745,44.978,2014-05-14T00:00:00,U,,
Gadus morhua,-61.745,44.978,2014-05-14T00:00:00,U,,
Gadus morhua,-61.752,44.953,2014-05-13T00:00:00,U,,
Gadus morhua,-61.752,44.953,2014-05-13T00:00:00,U,,
Gadus morhua,-61.752,44.953,2014-05-13T00:00:00,U,,
Gadus morhua,-61.745,44.978,2014-05-14T00:00:00,U,,
Gadus morhua,-61.745,44.978,2014-05-14T00:00:00,U,,
Gadus morhua,-61.752,44.953,2014-05-13T00:00:00,U,,
Gadus morhua,-61.778,44.945,2014-05-15T00:00:00,U,,
Gadus morhua,-61.745,44.978,2014-05-14T00:00:00,U,,
Gadus morhua,-60.51,45.17,2012-11-19T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.16,2012-11-19T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.16,2012-11-19T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.17,2012-11-19T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.16,2012-11-19T00:00:00,U,ADULT,
Gadus morhua,-60.91667,45.30867,2012-03-20T09:40:00,U,ADULT,
Gadus morhua,-60.91667,45.30867,2012-03-21T09:20:00,U,ADULT,
Gadus morhua,-60.51,45.17,2012-11-19T00:00:00,U,ADULT,
Gadus morhua,-60.91667,45.30867,2012-03-20T09:37:00,U,ADULT,
Gadus morhua,-60.91667,45.30867,2012-03-21T09:30:00,U,ADULT,
Gadus morhua,-60.51,45.17,2012-11-19T00:00:00,U,ADULT,
Gadus morhua,-60.91667,45.30867,2012-03-20T09:35:00,U,ADULT,
Gadus morhua,-60.91667,45.30867,2012-03-21T09:40:00,U,ADULT,
Gadus morhua,-60.51,45.17,2012-11-19T00:00:00,U,ADULT,
Gadus morhua,-60.91667,45.30867,2012-03-20T09:30:00,U,ADULT,
Gadus morhua,-60.91667,45.30867,2012-03-21T10:00:00,U,ADULT,
Gadus morhua,-60.51,45.17,2012-11-19T00:00:00,U,ADULT,
Gadus morhua,-60.91667,45.30867,2012-03-21T10:10:00,U,ADULT,
Gadus morhua,-60.51,45.17,2012-11-19T00:00:00,U,ADULT,
Gadus morhua,-60.91667,45.30867,2012-03-21T10:00:00,U,ADULT,
Gadus morhua,-60.91667,45.30867,2012-03-20T09:45:00,U,ADULT,
Gadus morhua,-60.54,45.18,2012-11-20T00:00:00,U,ADULT,
Gadus morhua,-60.54,45.18,2012-11-20T00:00:00,U,ADULT,
Gadus morhua,-60.54,45.18,2012-11-20T00:00:00,U,ADULT,
Gadus morhua,-60.54,45.18,2012-11-20T00:00:00,U,ADULT,
Gadus morhua,-60.54,45.18,2012-11-20T00:00:00,U,ADULT,
Gadus morhua,-60.54,45.18,2012-11-20T00:00:00,U,ADULT,
Gadus morhua,-60.54,45.18,2012-11-20T00:00:00,U,ADULT,
Gadus morhua,-60.54,45.18,2012-11-20T00:00:00,U,ADULT,
Gadus morhua,-60.54,45.18,2012-11-20T00:00:00,U,ADULT,
Gadus morhua,-60.54,45.18,2012-11-20T00:00:00,U,ADULT,
Gadus morhua,-60.54,45.18,2012-11-20T00:00:00,U,ADULT,
Gadus morhua,-60.54,45.18,2012-11-20T00:00:00,U,ADULT,
Gadus morhua,-60.52,45.18,2012-11-20T00:00:00,U,ADULT,
Gadus morhua,-60.52,45.18,2012-11-20T00:00:00,U,ADULT,
Gadus morhua,-60.52,45.18,2012-11-20T00:00:00,U,ADULT,
Gadus morhua,-60.54,45.18,2012-11-20T00:00:00,U,ADULT,
Gadus morhua,-60.52,45.18,2012-11-20T00:00:00,U,ADULT,
Gadus morhua,-60.52,45.18,2012-11-20T00:00:00,U,ADULT,
Gadus morhua,-60.52,45.18,2012-11-20T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.17,2012-11-22T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.17,2012-11-22T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.17,2012-11-22T00:00:00,U,ADULT,
Gadus morhua,-60.52,45.18,2012-11-20T00:00:00,U,ADULT,
Gadus morhua,-60.52,45.18,2012-11-20T00:00:00,U,ADULT,
Gadus morhua,-60.52,45.18,2012-11-20T00:00:00,U,ADULT,
Gadus morhua,-60.52,45.18,2012-11-20T00:00:00,U,ADULT,
Gadus morhua,-60.52,45.18,2012-11-20T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.17,2012-11-22T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.17,2012-11-22T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.17,2012-11-22T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.17,2012-11-22T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.17,2012-11-22T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.17,2012-11-22T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.17,2012-11-22T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.17,2012-11-22T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.17,2012-11-22T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.17,2012-11-22T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.17,2012-11-22T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.17,2012-11-22T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.17,2012-11-22T00:00:00,U,ADULT,
Gadus morhua,-61.593,45.001,2014-05-13T00:00:00,U,,
Gadus morhua,-60.51,45.17,2012-11-22T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.17,2012-11-22T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.17,2012-11-22T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.17,2012-11-22T00:00:00,U,ADULT,
Gadus morhua,-61.745,44.978,2014-05-14T00:00:00,U,,
Gadus morhua,-61.745,44.978,2014-05-14T00:00:00,U,,
Gadus morhua,-61.776,44.961,2014-05-14T00:00:00,U,,
Gadus morhua,-61.593,45.001,2014-05-13T00:00:00,U,,
Gadus morhua,-61.778,44.945,2014-05-15T00:00:00,U,,
Gadus morhua,-61.593,45.001,2014-05-13T00:00:00,U,,
Gadus morhua,-61.593,45.001,2014-05-13T00:00:00,U,,
Gadus morhua,-61.752,44.953,2014-05-13T00:00:00,U,,
Gadus morhua,-61.752,44.953,2014-05-13T00:00:00,U,,
Gadus morhua,-61.752,44.953,2014-05-13T00:00:00,U,,
Gadus morhua,-61.593,45.001,2014-05-13T00:00:00,U,,
Gadus morhua,-61.752,44.953,2014-05-13T00:00:00,U,,
Gadus morhua,-60.51,45.17,2012-11-22T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.17,2012-11-22T00:00:00,U,ADULT,
Gadus morhua,-60.51,45.17,2012-11-22T00:00:00,U,ADULT,
Gadus morhua,-61.776,44.961,2014-05-14T00:00:00,U,,
