latitude,longitude,time,distanceOverGround,headingDesired,headingSkew,headingSub,targetWaypoint,tempSub,totalPower,waterSpeed,day
45.32384,-62.25929,1417730000,251,57,-2,55,44,2,47534,-2,2
45.35588333,-62.17334167,1417850000,116,67,-2,64,59,1,40369,-2,4
45.34871667,-62.19510333,1417840000,106,68,-2,68,59,1,41421,-2,4
45.07073833,-62.103815,1417640000,141,290,-2,304,40,3,50146,-2,1
45.100005,-62.134425,1417650000,165,315,-2,293,40,3,49305,-2,1
45.3588,-62.226435,1417880000,68,225,-2,256,62,1,39003,-2,4
45.07173,-62.10532833,1417640000,173,321,-2,314,40,3,50118,-2,1
45.32696167,-62.259805,1417830000,142,63,-2,78,59,1,42640,-2,3
45.37432167,-62.16354,1417740000,107,296,-2,323,61,1,44802,-2,2
45.30263833,-62.35514667,1417800000,38,330,-2,346,64,2,42285,-2,3
44.99960333,-62.23798167,1417630000,297,76,-2,79,38,4,51392,-2,1
45.34533833,-62.249825,1417890000,62,284,-2,305,62,2,42497,-2,4
45.35069333,-62.24044667,1417760000,134,248,-2,218,62,1,42332,-2,3
45.34967667,-62.24239333,1417880000,93,227,-2,234,62,1,41180,-2,4
45.33359833,-62.27060667,1417900000,79,313,-2,332,253,2,41454,-2,4
45.33918667,-62.26047667,1417900000,83,276,-2,298,62,2,42180,-2,4
45.370875,-62.20591167,1417870000,73,222,-2,242,62,1,37960,-2,4
45.37694167,-62.17577833,1417860000,111,268,-2,287,61,1,39540,-2,4
45.12042667,-62.15540333,1417650000,178,317,-2,324,40,3,48627,-2,1
45.37592,-62.17032667,1417850000,106,274,-2,283,61,1,39650,-2,4
45.29449333,-62.357365,1417810000,33,321,-2,303,64,2,43491,-2,3
45.28796,-62.32165833,1417710000,121,310,-2,314,41,2,46031,-2,2
45.01222333,-62.20388333,1417630000,341,45,-2,73,39,4,51182,-2,1
45.18745667,-62.22289333,1417680000,73,294,-2,291,41,3,46158,-2,2
44.89767833,-62.36227167,1417610000,271,28,-2,47,253,3,52225,-2,1
45.24348167,-62.27793333,1417690000,157,313,-2,320,41,3,44171,-2,2
45.37513333,-62.19839167,1417860000,50,211,-2,207,62,1,38328,-2,4
45.29441667,-62.32826667,1417710000,117,322,-2,325,41,2,46773,-2,2
44.959735,-62.33092167,1417620000,319,85,-2,98,48,4,52020,-2,1
45.295925,-62.33930833,1417790000,117,305,-2,280,63,2,39764,-2,3
45.33077667,-62.22888833,1417730000,182,41,-2,52,44,2,47151,-2,2
44.99037333,-62.269035,1417630000,275,96,-2,83,48,4,51665,-2,1
45.294315,-62.357375,1417810000,52,39,-2,31,59,2,43519,-2,3
45.01423833,-62.20049167,1417630000,342,65,-2,73,39,4,51144,-2,1
45.39902333,-62.17370167,1417920000,167,159,-2,164,67,2,40689,-2,4
45.29762,-62.35651833,1417800000,67,311,-2,317,64,2,42955,-2,3
45.30344667,-62.33006333,1417820000,184,30,-2,40,59,2,42778,-2,3
45.34775333,-62.24587833,1417760000,132,250,-2,249,62,1,42186,-2,3
45.36566333,-62.16598833,1417850000,111,36,-2,49,60,1,40040,-2,4
45.37509333,-62.16723833,1417750000,105,297,-2,353,61,1,44693,-2,2
45.22094,-62.255935,1417690000,122,322,-2,321,41,3,44964,-2,2
45.30008667,-62.34008667,1417820000,150,21,-2,50,59,2,42911,-2,3
44.891255,-62.36556667,1417610000,80,28,-2,22,253,3,52298,-0.92900002,1
45.14430167,-62.18012833,1417660000,163,321,-2,307,40,3,47907,-2,1
44.97184833,-62.31295833,1417620000,319,89,-2,100,48,4,51887,-2,1
45.342685,-62.25429167,1417890000,80,295,-2,312,62,2,42288,-2,4
