"scientificname","longitude","latitude","datecollected","timeofday","stock","life_stage","length"
"Oncorhynchus kisutch",-126.64694,50.23139,"2004-06-14T22:30:00",22.5,"Nimpkish River","",0.144
"Oncorhynchus nerka",-121.97974,49.07988,"2007-05-16T22:00:00",22,"Cultus Lake","",0.181
"Oncorhynchus nerka",-121.97974,49.07988,"2007-05-16T22:00:00",22,"Cultus Lake","",0.191
"Salvelinus malma",-127.35088,50.67511,"2004-06-05T05:00:00",5,"Keogh River","JUVENILE",0.188
"Oncorhynchus tshawytscha",-120.21385,45.7236,"2010-05-02T16:34:00",16.56666667,"Unknown","JUVENILE",0.149
"Oncorhynchus nerka",-121.97974,49.07988,"2007-05-16T22:00:00",22,"Cultus Lake","",0.202
"Oncorhynchus nerka",-121.97974,49.07988,"2007-05-16T22:00:00",22,"Cultus Lake","",0.173
"Oncorhynchus nerka",-121.97974,49.07988,"2007-05-16T22:00:00",22,"Cultus Lake","",0.188
"Oncorhynchus nerka",-121.97974,49.07988,"2007-05-16T22:00:00",22,"Cultus Lake","",0.208
"Oncorhynchus nerka",-121.97974,49.07988,"2007-05-16T22:00:00",22,"Cultus Lake","",0.194
"Oncorhynchus nerka",-121.97974,49.07988,"2007-05-16T22:00:00",22,"Cultus Lake","",0.204
"Oncorhynchus nerka",-121.97974,49.07988,"2007-05-16T22:00:00",22,"Cultus Lake","",0.198
"Oncorhynchus nerka",-121.97974,49.07988,"2007-05-16T22:00:00",22,"Cultus Lake","",0.197
"Oncorhynchus tshawytscha",-120.21605,45.73068,"2010-05-02T15:55:00",15.91666667,"Unknown","JUVENILE",0.198
"Oncorhynchus nerka",-121.97974,49.07988,"2007-05-16T22:00:00",22,"Cultus Lake","",0.182
"Oncorhynchus nerka",-121.97974,49.07988,"2007-05-16T22:00:00",22,"Cultus Lake","",0.187
"Oncorhynchus nerka",-121.97974,49.07988,"2007-05-16T22:00:00",22,"Cultus Lake","",0.183
"Oncorhynchus nerka",-121.97974,49.07988,"2007-05-16T22:00:00",22,"Cultus Lake","",0.185
"Oncorhynchus tshawytscha",-120.21385,45.7236,"2010-05-02T16:34:00",16.56666667,"Unknown","JUVENILE",0.165
"Oncorhynchus nerka",-121.97974,49.07988,"2007-05-16T22:00:00",22,"Cultus Lake","",0.201
"Oncorhynchus nerka",-121.97974,49.07988,"2007-05-16T22:00:00",22,"Cultus Lake","",0.193
"Oncorhynchus nerka",-121.97974,49.07988,"2007-05-16T22:00:00",22,"Cultus Lake","",0.192
"Oncorhynchus nerka",-121.97974,49.07988,"2007-05-16T22:00:00",22,"Cultus Lake","",0.186
"Oncorhynchus tshawytscha",-120.21605,45.73068,"2010-05-02T15:55:00",15.91666667,"Unknown","JUVENILE",0.155
"Oncorhynchus tshawytscha",-120.21433,45.72542,"2010-05-02T16:29:00",16.48333333,"Unknown","JUVENILE",0.143
"Oncorhynchus tshawytscha",-122.07833333,45.59333333,"2008-05-18T05:30:00",5.5,"Dworshak","",0.139
"Oncorhynchus tshawytscha",-120.2149,45.72717,"2010-05-02T16:23:00",16.38333333,"Unknown","JUVENILE",0.168
"Oncorhynchus tshawytscha",-122.07833333,45.59333333,"2008-05-18T05:30:00",5.5,"Dworshak","",0.141
"Oncorhynchus tshawytscha",-122.07833333,45.59333333,"2008-05-18T05:30:00",5.5,"Dworshak","",0.144
"Oncorhynchus tshawytscha",-122.07833333,45.59333333,"2008-05-18T05:30:00",5.5,"Dworshak","",0.142
"Oncorhynchus tshawytscha",-122.07833333,45.59333333,"2008-05-18T05:30:00",5.5,"Dworshak","",0.145
"Oncorhynchus tshawytscha",-122.07833333,45.59333333,"2008-05-18T05:30:00",5.5,"Dworshak","",0.138
"Oncorhynchus tshawytscha",-122.07833333,45.59333333,"2008-05-18T05:30:00",5.5,"Dworshak","",0.149
"Oncorhynchus tshawytscha",-122.07833333,45.59333333,"2008-05-24T02:10:00",2.16666667,"Dworshak","",0.137
"Oncorhynchus tshawytscha",-120.2149,45.72717,"2010-05-02T16:23:00",16.38333333,"Unknown","JUVENILE",0.164
"Oncorhynchus tshawytscha",-122.07833333,45.59333333,"2008-05-24T02:10:00",2.16666667,"Dworshak","",0.145
"Oncorhynchus tshawytscha",-122.07833333,45.59333333,"2008-05-24T02:10:00",2.16666667,"Dworshak","",0.142
"Oncorhynchus tshawytscha",-122.07833333,45.59333333,"2008-05-24T02:10:00",2.16666667,"Dworshak","",0.147
"Oncorhynchus tshawytscha",-122.07833333,45.59333333,"2008-05-24T02:10:00",2.16666667,"Dworshak","",0.14
"Oncorhynchus tshawytscha",-122.07833333,45.59333333,"2008-05-24T02:10:00",2.16666667,"Dworshak","",0.139
"Oncorhynchus tshawytscha",-122.07833333,45.59333333,"2008-05-24T02:10:00",2.16666667,"Dworshak","",0.136
"Oncorhynchus tshawytscha",-120.22794,45.72932,"2010-05-04T02:43:00",2.71666667,"Unknown","JUVENILE",0.159
"Oncorhynchus tshawytscha",-122.07833333,45.59333333,"2008-05-18T05:30:00",5.5,"Dworshak","",0.148
"Oncorhynchus tshawytscha",-122.07833333,45.59333333,"2008-05-18T05:30:00",5.5,"Dworshak","",0.135
"Oncorhynchus tshawytscha",-122.07833333,45.59333333,"2008-05-18T05:30:00",5.5,"Dworshak","",0.152
"Oncorhynchus tshawytscha",-122.07833333,45.59333333,"2008-05-18T05:30:00",5.5,"Dworshak","",0.137
"Oncorhynchus tshawytscha",-120.22794,45.72932,"2010-05-04T02:43:00",2.71666667,"Unknown","JUVENILE",0.175
"Oncorhynchus tshawytscha",-122.07833333,45.59333333,"2008-05-24T02:10:00",2.16666667,"Dworshak","",0.143
"Oncorhynchus tshawytscha",-122.07833333,45.59333333,"2008-05-24T02:10:00",2.16666667,"Dworshak","",0.131
"Oncorhynchus tshawytscha",-122.07833333,45.59333333,"2008-05-18T05:30:00",5.5,"Dworshak","",0.157
"Oncorhynchus tshawytscha",-120.22794,45.72932,"2010-05-04T02:43:00",2.71666667,"Unknown","JUVENILE",0.149
"Oncorhynchus tshawytscha",-122.07833333,45.59333333,"2008-05-18T05:30:00",5.5,"Dworshak","",0.158
"Oncorhynchus tshawytscha",-122.07833333,45.59333333,"2008-05-18T05:30:00",5.5,"Dworshak","",0.159
"Oncorhynchus tshawytscha",-122.07833333,45.59333333,"2008-05-18T05:30:00",5.5,"Dworshak","",0.153
